sequence,rows,all_changes,any_changes,jaccards
"35,683,34,41,208,581,17,940,609,1047,613,633,1524,5,18,33,31,1077,105,1279,8,382,1513,767,548,135,516,56,199,117,16,1121,317,1293,276,1195,370,1504,89,362,14,1802,618,1299,165,324,274,184,1345,798",1,10.337,10.337,61.396
"350,1070,3021,113,1201,39,795,278,1155,110,2238,392,426,980,877,1650,1060,846,2848,1472,199,100,466,636,1146,696,645,455,1645,2135,945,1347,402,898,913,2246,1692,1594,1335,657,328,876,2885,943,1965,2959,2620,105,734,61",1,38.92,78.596,33.802
"351,337,516,110,243,510,511,135,11,375,918,497,93,317,505,906,270,471,551,466,28,526,34,86,377,2201,823,323,397,983,2056,2236,438,1691,496,558,1986,907,537,291,825,358,80,543,284,370,524,482,372,142",1,6.289,64.966,55.7
"3542,2495,1234,205,141,1114,604,1642,1352,1426,699,772,1574,762,869,1570,587,595,427,1152,725,627,2099,760,1837,2318,1115,985,637,312,2870,3133,1704,1838,369,353,789,874,185,867,791,232,516,436,355,2154,220,306,1388,351",1,28.637,96.788,34.818
"356,516,539,284,1164,2154,234,464,98,1424,734,362,705,173,2268,892,505,1401,511,897,376,244,1201,457,453,306,1879,1277,230,324,391,5,50,35,1615,903,1439,351,956,1187,253,190,289,804,439,345,687,528,2900,433",1,86.613,97.949,6.785
"375,244,1763,384,291,807,372,172,535,1264,1040,1008,146,348,178,682,421,665,93,265,2057,1651,200,1579,739,212,539,323,1326,105,2073,553,152,1116,94,98,791,1544,20,515,156,697,161,1006,620,1102,763,667,896,893",1,25.02,86.208,26.375
"376,1020,904,1011,776,1174,1372,433,591,620,1019,197,1275,2293,754,910,1483,556,763,851,880,73,648,1193,223,74,2855,1724,1482,1671,92,198,850,565,1716,131,66,1210,2320,1089,1841,576,2425,1276,1064,2428,1030,1103,1076,1844",1,15.978,78.381,42.938
"38,609,715,13,176,42,53,152,9,499,292,265,1536,351,274,50,613,906,651,516,1591,43,530,885,643,674,60,588,1060,313,190,20,770,505,177,1527,633,1151,344,306,469,466,47,1047,872,1346,219,525,329,196",1,44.399,98.893,14.666
"382,177,135,316,21,244,1682,222,538,1865,34,383,816,1595,346,1178,1257,741,372,165,891,535,789,1315,1312,826,1290,190,458,1310,358,658,919,180,1758,1182,1658,1136,687,568,557,640,515,1154,746,1776,910,90,1089,907",1,16.626,16.626,63.455
"387,1382,1001,10,756,35,17,1342,771,60,712,1019,648,576,626,24,133,63,433,190,265,2467,632,795,1745,837,510,420,498,121,505,2154,636,295,1727,552,604,288,167,386,243,2344,871,889,244,1578,798,506,539,377",1,43.833,89.393,27.221
"39,264,52,183,86,1468,767,3175,5,476,1580,148,1259,139,807,902,906,471,466,1286,1586,992,825,1291,562,760,127,967,1216,2394,2128,1438,1992,2437,2803,33,683,711,1356,1127,213,1132,1319,1729,791,932,886,525,2636,1228",1,42.078,91.714,22.635
"39,337,98,96,983,918,1235,958,243,2072,1119,1259,326,800,151,434,121,460,94,1688,912,91,1861,80,1745,306,1968,376,896,3026,405,2145,844,910,203,926,1205,1173,223,1690,922,536,89,185,30,41,1034,891,382,378",1,18.785,57.031,55.117
"39,49,86,377,770,21,28,478,1201,35,1257,145,896,815,167,306,90,888,791,1756,177,519,789,401,376,149,2449,640,687,1365,2094,1460,522,567,2744,367,156,2187,126,289,732,901,364,574,1593,2231,472,84,223,763",1,32.686,91.147,28.881
"391,117,195,79,44,40,89,281,34,479,50,256,983,489,470,530,436,351,1771,2040,243,906,323,152,528,539,390,1195,5,463,317,150,222,905,338,1591,124,343,1527,434,114,1108,54,687,1119,383,265,441,919,118",1,27.503,91.687,24.289
"391,127,1047,613,5,683,9,208,1048,8,1863,581,771,601,506,178,799,207,382,14,23,274,176,142,291,1345,1211,16,20,757,643,169,1314,815,1311,731,1299,184,965,27,1006,1059,156,433,252,161,991,897,656,738",1,7.584,72.146,37.476
"397,1746,172,343,333,401,1784,1393,1681,413,730,568,640,475,708,3269,2375,248,1313,584,775,2157,2591,1226,622,1392,257,2439,39,361,2246,287,2600,2491,532,2325,2244,950,534,2215,1644,1987,832,2052,1486,174,1106,2243,69,1245",1,10.256,48.178,65.268
"405,1418,1476,1155,63,121,858,288,168,72,276,93,1099,1311,98,157,83,836,557,658,510,99,200,524,789,791,20,568,125,376,1110,837,108,152,147,349,114,1656,2265,266,642,120,647,897,135,746,691,58,2292,2262",1,20.135,64.291,44.606
"41,105,172,382,185,117,2238,1012,1185,123,1337,168,2150,2265,501,1090,1508,394,278,179,874,877,909,1856,934,353,867,232,2216,328,1559,502,220,274,940,339,288,309,95,1367,1695,2043,280,264,306,2140,351,244,39,219",1,76.248,95.142,8.557
"415,216,723,1155,1023,1069,1536,2103,671,1796,579,1249,1554,630,322,727,1093,1254,237,965,1475,609,613,633,1005,690,1711,38,2371,1695,656,589,421,339,662,160,561,610,18,694,47,9,10,1081,1845,1127,213,2203,999,1070",1,25.587,99.001,17.799
"416,487,238,69,16,464,417,1217,854,3030,435,670,2819,663,1229,1106,211,215,60,538,1201,57,1971,1195,687,1082,704,1268,900,1113,117,1062,917,260,471,438,1299,2223,1645,1073,1372,1074,776,318,564,20,337,1039,716,1967",1,47.449,47.449,40.001
"42,50,125,1045,418,377,185,39,1524,454,416,130,1630,478,56,1164,152,24,1872,49,2156,150,68,44,436,438,1097,259,3412,440,107,105,516,1615,316,502,274,339,1169,525,2154,426,1695,501,312,280,2043,351,135,2251",1,28.124,49.906,59.162
"421,1136,714,138,42,635,3013,2326,39,2204,762,1416,152,281,1853,211,744,1692,133,377,53,40,449,10,2042,172,23,549,793,8,274,317,56,1500,2164,1042,178,1385,27,65,187,1510,157,1532,243,1929,917,218,647,539",1,55.87,99.055,13.841
"421,154,1071,719,1467,123,1229,840,862,93,105,51,1530,316,382,171,563,185,207,85,200,2004,41,142,14,117,244,757,336,538,1510,1159,322,1263,247,1848,727,7,455,211,2571,1524,35,610,128,137,44,213,1093,58",1,39.001,81.511,28.671
"422,343,1257,440,21,492,177,2154,281,577,1929,2570,640,594,285,815,464,552,1312,516,826,535,475,2640,582,1100,1244,286,1631,853,892,1409,730,901,2085,2198,2471,2622,1369,859,482,344,2892,1402,75,114,397,628,525,222",1,50.661,98.165,15.615
"424,804,539,438,351,1201,502,1970,318,118,211,1855,2789,736,1601,1602,2419,1603,1604,2436,749,377,776,100,212,665,1229,407,294,185,525,2573,257,3149,1915,3048,532,2344,1432,1424,1323,507,69,1840,501,96,612,174,2037,886",1,6.235,39.325,70.821
"425,401,426,2201,815,410,2457,149,300,522,330,675,614,585,427,400,1746,1039,473,942,783,691,119,424,472,127,25,1643,730,420,1682,1774,419,1593,1038,676,1687,850,1390,1407,1418,1373,246,1121,2578,1236,262,263,3702,2577",1,60.162,60.162,39.015
"429,1323,438,1099,1257,149,117,548,386,2086,425,397,208,646,387,265,829,730,424,1344,127,1681,942,746,105,615,176,1298,274,1455,159,401,2619,712,222,1305,98,206,128,218,1110,187,211,278,945,364,502,426,924,312",1,23.86,94.359,25.425
"432,717,78,117,1062,626,375,217,1229,2612,441,5,588,8,278,14,1585,1332,20,712,148,27,965,1186,156,759,731,539,844,492,265,1314,1001,592,674,1114,1527,42,130,742,897,1052,1443,75,2034,425,169,1879,906,118",1,73.765,90.661,14.493
"435,630,1462,895,129,1261,1241,1466,560,892,1922,906,1583,1562,293,59,1739,1514,324,1453,563,1455,46,1648,1449,1779,709,418,767,175,1099,421,1550,117,727,1107,429,135,649,548,172,370,646,383,413,568,154,1652,426,166",1,5.29,39.082,66.713
"438,1409,1385,859,845,138,239,1408,573,1361,641,1851,63,161,134,606,1191,99,556,955,1656,1185,657,1084,445,129,168,40,124,104,281,1401,462,1968,927,2094,1329,660,2100,1333,1326,2830,1784,1840,1769,1381,1958,2843,73,1830",1,6.694,67.314,49.689
"448,165,1328,110,63,17,241,522,732,789,397,2640,907,956,2598,161,90,167,568,2100,383,888,120,320,291,2582,567,401,739,1593,895,920,3311,661,1869,31,1203,763,2281,164,186,437,127,1688,1200,2201,1055,118,500,1488",1,15.061,59.055,54.404
"449,1593,1686,1774,614,473,1527,585,499,522,2640,2201,1407,1380,1798,1408,472,1225,396,2287,2379,1969,2418,22,1183,168,68,337,129,2505,157,52,1524,150,260,277,245,2040,185,247,940,339,1536,122,2039,795,2634,1077,1645,1965",1,55.358,98.192,14.087
"458,515,90,687,1758,343,691,1596,1151,149,1802,872,789,901,419,531,875,503,2794,2154,180,344,1315,232,730,1166,577,275,1804,871,190,640,984,552,1870,475,288,668,1865,2471,3147,401,826,84,1310,741,1932,1313,1355,732",1,15.439,15.439,71.045
"468,114,742,201,703,206,33,190,151,149,196,61,644,1227,1554,167,1249,623,857,844,529,1738,288,681,559,768,1017,679,620,1042,776,648,718,312,1618,676,87,1079,642,120,1185,1082,1605,1686,1342,1104,1418,1134,576,1083",1,40.486,86.073,25.732
"471,532,238,59,69,243,900,534,832,1158,407,260,41,245,1518,612,200,506,1254,125,980,1106,546,185,14,1116,384,210,1196,183,1252,169,1345,436,58,42,240,274,316,351,1328,1463,250,2107,220,2026,1201,359,57,638",1,55.439,55.439,38.255
"479,42,432,449,124,104,382,1467,237,165,624,160,384,1401,438,5,712,110,764,1530,1116,906,421,157,176,793,150,16,613,696,175,448,714,674,1309,1042,1500,1257,375,80,1344,151,1476,439,492,141,177,815,46,91",1,1.754,54.089,71.634
"48,112,1728,663,1964,1731,202,571,97,1,1395,2031,1722,140,1467,862,1272,1922,3041,3178,1704,3261,339,1284,586,1254,630,560,1583,1613,259,59,293,2072,2084,1452,1556,1451,1159,1553,210,1560,129,1146,460,896,127,126,3189,87",1,27.449,27.449,47.409
"485,2754,455,1308,909,2156,476,245,52,505,318,338,478,1097,979,2752,40,903,1872,492,60,220,3386,1107,284,1060,358,1892,902,329,519,449,2246,146,440,239,229,888,372,922,465,489,1401,2755,1600,483,1906,1369,675,1767",1,7.368,7.368,60.404
"49,670,10,1,2484,682,245,1943,1540,2036,717,88,40,1099,27,6,133,210,152,214,93,211,157,190,265,715,217,729,1155,65,1110,187,79,644,712,387,140,61,41,1510,1455,14,771,85,23,632,176,171,1211,1299",1,15.574,15.574,56.24
"491,338,2482,508,19,90,2150,93,476,83,1323,1305,1404,478,471,2268,438,503,594,485,519,1311,1265,2824,2631,1960,2777,455,315,1394,1956,417,495,169,766,897,1539,1402,614,1377,60,490,364,233,1749,754,1369,919,2069,164",1,3.077,33.414,78.081
"5,538,816,506,1755,332,1012,789,1865,746,89,1034,1399,535,413,872,522,261,372,90,730,863,787,1315,397,275,1277,1929,447,557,401,353,568,1849,2274,1424,708,826,194,577,691,253,1175,648,1253,232,2892,1752,333,2087",1,27.126,27.126,61.575
"501,110,2067,505,1634,866,1107,1550,995,23,612,429,1099,848,1005,97,1242,749,539,377,218,120,1002,295,278,989,433,857,190,215,63,65,1019,2557,39,327,1529,1071,124,624,846,204,105,1344,734,185,1574,1575,793,1467",1,25.263,62.456,38.93
"505,290,98,1970,946,445,454,177,521,93,124,1097,40,526,278,928,353,874,791,939,1709,933,1559,5,2216,364,4,502,2154,936,1306,339,295,882,426,1367,1388,552,1315,309,3379,871,333,1692,1163,135,881,280,306,219",1,77.517,92.443,10.467
"506,130,397,691,317,291,222,117,177,538,1195,528,730,568,1201,1658,734,190,1257,383,535,522,315,739,129,1339,245,52,168,809,49,45,125,6,128,150,217,670,281,211,98,140,218,187,79,152,712,58,243,260",1,15.034,43.995,60.75
"516,1652,146,632,184,891,76,604,528,643,638,177,204,1667,5,1642,1645,626,1186,826,1503,538,410,535,165,1493,386,677,793,770,291,515,815,372,176,190,607,1271,1432,425,2536,756,731,712,397,689,693,400,522,1501",1,7.773,71.255,49.338
"517,45,435,670,157,125,6,128,729,210,152,200,211,98,1252,58,690,217,218,1069,720,715,187,434,214,278,206,63,587,1070,588,149,1114,79,91,1072,712,241,387,80,190,151,976,121,65,94,61,529,118,647",1,16.221,72.551,38.059
"524,888,118,332,1561,433,2223,1982,417,984,1156,568,2089,149,305,519,2460,397,691,2422,1197,485,1757,1432,502,1366,1076,320,789,567,1340,2124,1136,912,2538,837,1787,1927,658,1409,747,1382,933,131,66,1225,1383,2616,1422,421",1,32.47,32.47,59.272
"530,68,135,27,1587,1863,492,601,274,702,281,98,316,20,133,589,326,511,651,42,41,1825,462,1576,905,2542,2293,1318,1866,1564,209,195,124,1833,394,846,395,1508,398,739,917,1840,1231,1383,2433,245,227,60,897,836",1,26.883,79.514,34.793
"536,117,428,98,273,146,151,265,91,152,1214,189,156,190,149,196,114,529,118,121,167,433,539,63,323,120,897,971,620,161,763,784,24,1089,462,41,11,940,34,516,17,924,372,157,617,607,853,79,145,247",1,80.702,80.702,7.767
"538,21,516,336,190,291,366,1012,804,503,515,2850,535,2399,355,1896,90,816,1595,872,1865,1187,33,146,1277,149,552,2471,84,1802,619,451,397,826,984,180,165,745,1310,1322,1432,353,1055,413,668,687,332,2867,600,658",1,20.0,20.0,64.519
"539,161,1665,784,87,433,604,269,1104,1221,556,99,1150,432,1116,965,214,1119,912,595,716,189,1142,203,2672,791,1815,1268,1680,2260,2392,1816,1819,1154,1817,2658,1140,69,129,105,281,45,125,128,715,217,65,670,1713,542",1,11.741,54.386,43.412
"540,185,30,919,516,1012,382,816,506,135,165,3146,891,89,1151,531,177,370,21,226,5,130,324,770,1658,734,291,383,2183,232,332,2256,826,2236,1136,2188,787,2266,522,600,658,180,619,105,435,670,799,51,2053,222",1,42.537,90.364,23.644
"546,115,1151,1312,1584,485,1419,212,1496,401,731,344,752,2328,2063,1420,667,690,974,2085,1088,877,976,873,192,2321,1102,188,1915,845,2145,1794,481,1143,1307,2354,1975,1322,3612,1270,1193,2613,788,1351,3021,1675,2740,2213,1429,2658",1,56.437,56.437,32.608
"548,730,6,1299,670,1569,2092,190,2040,114,61,327,93,462,24,1107,161,34,41,11,536,2,35,391,22,31,924,2184,1087,946,133,247,425,643,20,27,500,69,257,318,1255,238,1987,1106,2919,518,1245,832,2215,350",1,9.042,76.491,46.219
"551,530,93,492,152,110,358,177,3371,21,506,923,40,1303,326,375,510,918,19,1951,266,1290,372,1119,329,471,538,439,438,34,524,594,797,904,90,1829,558,539,323,1486,518,2092,1888,1598,838,69,1713,832,2588,2585",1,11.39,45.398,65.978
"558,505,438,172,117,537,273,284,1527,265,522,1791,383,471,125,435,218,1110,49,241,214,157,756,2095,712,588,206,79,95,433,190,434,1669,105,670,10,662,168,48,27,245,384,613,643,20,718,425,623,515,809",1,15.25,82.888,34.57
"559,114,586,1683,1674,1556,151,434,1745,39,257,264,185,1062,2535,2215,1644,307,946,436,367,195,1630,770,354,438,239,1793,789,837,901,1106,2325,500,318,520,481,1088,1385,351,1197,1394,708,518,2314,778,1614,873,1271,1502",1,11.066,65.101,54.117
"563,23,548,130,8,169,14,866,796,759,20,717,24,744,129,218,237,19,152,281,800,766,465,401,2363,199,336,1640,1257,464,180,1546,133,687,811,417,313,143,1587,1293,178,383,172,117,438,770,804,222,1025,1529",1,8.772,49.987,54.438
"581,1028,610,1001,924,389,1426,869,2624,1115,595,1131,214,1268,1122,1127,2468,2237,2369,1536,1537,1006,1296,2367,1116,1571,1962,1978,3008,2950,2387,2968,1297,2353,2975,1733,2389,2380,2374,1249,976,995,677,1134,190,63,114,529,134,776",1,10.661,35.358,52.318
"586,510,16,1536,2325,683,105,1628,2703,421,719,435,237,560,1569,136,144,1300,175,2920,1254,1466,1731,48,454,1896,32,562,2438,183,1586,2049,2490,2453,1031,2765,2943,260,1615,173,1233,470,2181,1106,4,69,407,2215,1264,534",1,61.862,93.171,14.688
"587,1157,892,10,85,742,1479,41,11,391,65,610,718,1846,175,412,110,505,471,1099,1257,866,284,1527,1631,522,568,609,425,2075,239,525,69,534,546,384,260,247,19,789,317,530,501,519,1460,531,291,91,594,500",1,14.251,96.545,27.821
"588,1394,387,716,201,206,1652,623,738,2217,1039,674,714,865,1221,2290,1082,1605,132,181,1083,1697,1219,97,45,1467,435,214,670,487,205,581,583,995,634,1017,742,612,163,663,1620,697,719,217,1159,598,200,729,46,672",1,91.201,97.76,3.211
"589,536,581,35,30,38,18,34,208,1048,633,1094,610,31,17,672,2,33,1317,26,390,1077,1238,52,1040,140,720,453,179,1936,867,789,950,942,532,2238,533,520,69,318,388,542,861,407,1692,808,2140,238,873,430",1,68.34,68.34,16.758
"6,128,44,93,49,273,133,265,187,152,256,111,75,156,146,79,167,387,433,138,149,196,161,94,91,892,241,1836,151,529,1199,1146,59,376,84,131,1440,320,1251,105,606,129,421,662,267,1615,418,237,1099,43",1,5.02,69.906,55.083
"6,1451,133,866,285,1463,217,840,7,1299,337,429,742,116,492,1540,798,62,415,586,178,148,715,799,848,1624,63,1536,2056,42,43,219,1345,1916,439,536,30,41,9,11,589,609,1047,613,621,581,35,391,610,5",1,6.181,27.503,72.804
"6,185,23,382,200,506,135,16,291,85,798,1062,548,566,129,260,247,39,877,909,509,791,316,220,455,938,1151,525,360,1136,309,871,899,306,801,501,44,892,20,742,27,643,718,128,689,199,731,1219,702,789",1,42.429,42.429,41.407
"60,220,1080,1311,1970,1567,466,918,1999,2139,165,90,315,146,1060,1234,793,2000,293,75,297,2003,582,109,357,1756,519,309,1456,1578,3197,1305,485,2079,490,306,1784,2078,339,903,922,3044,2056,906,344,912,926,2335,800,211",1,13.657,13.657,49.998
"602,1463,2042,199,1390,403,1349,1624,2104,1347,1965,1947,175,1923,3161,2081,1620,2852,10,1081,423,6,720,824,1705,1942,3394,128,189,690,719,856,561,7,187,859,529,213,1469,1479,782,783,1159,2661,1127,965,1536,1129,214,1588",1,52.928,94.899,22.861
"602,886,1624,1962,199,1390,1043,215,2102,1965,1398,696,615,2921,2928,520,1538,52,260,68,247,670,830,337,983,946,58,1248,292,137,1273,923,1207,1012,1019,2344,2566,325,496,921,922,1745,591,1010,912,344,1189,1578,1727,889",1,20.513,90.661,30.117
"604,1120,969,755,1725,1096,1251,2020,1718,1979,77,421,2149,1848,1074,793,1697,57,172,1348,2043,1224,2982,462,1866,148,1548,2296,1467,840,435,877,909,516,353,5,789,874,1559,364,899,333,1151,882,801,1388,2009,351,446,881",1,67.854,67.854,24.903
"606,604,513,974,784,98,129,2110,1183,1263,1159,218,1241,247,530,663,51,771,598,211,204,135,41,1298,336,14,185,548,830,566,692,159,1043,1309,117,634,609,401,515,615,1313,833,176,699,643,172,1567,601,5,16",1,17.031,81.296,36.549
"606,620,844,642,645,188,657,134,576,1342,536,30,503,798,41,540,1518,178,757,612,999,744,98,1242,952,133,289,995,218,23,539,1271,1019,156,161,1059,1292,937,861,1191,1054,1996,11,208,1632,756,1683,353,1691,244",1,27.908,78.462,36.201
"61,54,530,789,801,63,2267,59,189,190,620,844,151,149,741,196,186,114,529,120,1227,167,2182,574,87,126,134,1301,606,127,2275,859,73,648,955,288,1342,1045,1104,1079,2780,203,1402,2176,1830,1199,1266,2644,576,879",1,32.74,73.252,36.302
"612,24,327,1676,2042,240,9,650,10,697,1532,1624,415,2228,618,38,46,34,597,633,12,1863,723,798,604,636,15,208,2044,391,390,404,1312,1645,1159,1116,601,1127,3093,630,454,1848,324,626,2689,1940,493,2969,2418,69",1,61.188,97.895,17.348
"622,599,1967,1379,1715,1380,1857,2680,938,747,132,1942,1771,1327,2469,1618,1138,1181,811,908,1823,1354,688,700,1873,1831,1175,773,876,812,1378,1416,1126,1693,2872,2263,1371,1859,1364,1601,1220,2894,2739,2467,1092,1602,2419,1400,1170,1604",1,48.637,48.637,44.128
"63,61,114,644,1475,27,1005,1004,190,1019,323,1006,1018,620,604,677,768,161,513,985,1588,725,559,865,1711,809,2557,1120,645,755,87,1249,2556,1076,1210,134,1727,168,260,435,129,796,128,277,662,106,163,55,719,547",1,14.305,78.866,40.909
"63,715,995,65,78,323,1009,644,1015,27,677,2697,190,215,587,647,897,738,295,1249,156,433,857,161,776,61,604,120,763,725,620,1714,556,969,642,755,2557,1134,1656,1185,1210,125,210,1017,592,741,759,1019,529,1018",1,12.281,48.961,43.886
"632,510,799,184,1099,646,737,749,362,42,2228,1211,13,367,336,243,338,2109,107,795,2432,1024,764,173,79,152,2626,2507,2728,2526,354,1080,280,852,1406,96,2129,144,63,439,2251,19,2265,1642,1620,1611,1754,2066,2321,711",1,68.367,68.367,18.964
"636,901,1305,568,691,413,1360,139,401,677,1434,336,984,1182,942,731,2832,1396,829,1782,522,1346,1339,1387,10,1532,727,650,1632,1624,415,479,2228,2351,1576,722,1572,420,701,418,370,438,640,387,582,518,306,520,407,432",1,41.188,69.744,38.425
"639,485,421,772,688,217,1366,68,175,840,598,612,846,749,729,1155,1023,1069,200,2044,701,46,1796,15,740,786,4,670,760,1837,1838,1191,325,337,515,60,94,912,531,591,920,648,164,45,1072,1694,353,789,588,712",1,3.185,93.009,35.525
"645,739,620,969,642,1260,865,631,87,2020,99,556,1076,763,565,134,108,1185,1210,1997,1104,1727,1134,1725,1243,1979,1096,1064,1054,935,1095,613,721,583,643,20,559,574,843,1038,623,679,674,742,569,657,1084,188,1342,1067",1,32.794,97.679,20.879
"647,241,297,188,531,151,376,149,1108,2854,118,1157,147,387,1001,206,59,189,857,844,84,1113,896,91,61,841,976,645,892,643,20,981,432,98,125,1242,952,377,995,1241,247,744,8,105,207,598,1033,227,1620,1420",1,6.1,99.352,37.104
"648,765,1026,389,11,1524,22,17,34,9,589,597,1047,613,621,633,391,36,31,5,38,683,1077,581,2,1035,35,2209,924,244,47,18,1178,1021,26,292,48,662,20,740,1116,965,1150,595,274,1119,46,630,356,336",1,53.657,98.92,17.12
"657,188,1933,520,1713,542,902,877,6,128,106,23,744,715,65,1116,1050,184,1406,58,14,1587,1110,85,644,178,274,721,1065,144,42,169,756,647,1299,27,43,1309,1229,2012,1042,866,991,429,113,665,1099,264,2723,466",1,18.165,94.683,21.718
"657,52,382,24,418,220,358,946,521,470,338,40,50,1107,327,1034,19,282,3368,354,2475,439,436,281,1897,2439,304,372,359,1529,927,54,438,93,1892,146,321,1527,1061,508,306,1951,236,1360,2160,229,466,413,449,822",1,3.158,75.87,58.839
"657,630,1584,1369,293,972,1212,59,128,2040,842,365,63,588,190,856,114,648,1026,777,87,858,1418,610,208,1047,1061,581,18,2183,625,1055,1327,2201,97,1006,715,587,677,1019,738,620,161,969,739,52,435,732,1999,767",1,64.642,91.174,15.386
"658,1253,358,353,2223,2256,355,333,2157,1076,882,513,2892,2575,2350,2576,662,1457,1195,718,747,365,85,742,151,578,193,1102,1227,776,181,637,574,1301,879,260,1254,322,715,1232,152,663,959,1451,2265,429,1993,1119,958,2550",1,5.614,5.614,61.304
"671,2224,1048,625,2209,17,672,2488,88,1043,1634,412,153,128,1273,1116,274,184,1502,1186,2150,1493,588,1150,1211,1051,211,68,1534,337,1846,2079,2843,284,1857,370,535,54,441,2378,705,524,91,1046,1673,76,172,510,1085,648",1,36.059,99.082,14.546
"681,364,1254,630,322,1565,2348,1556,1451,78,737,62,717,48,7,1448,202,1964,175,163,1619,1242,210,663,97,703,221,1711,995,23,1002,848,1004,749,647,677,156,841,120,644,738,87,969,642,1510,852,1848,481,445,282",1,30.175,30.175,49.466
"69,1936,517,545,268,994,861,39,959,168,24,49,2646,258,128,1043,53,2640,509,548,652,1856,369,867,789,874,2493,877,516,70,328,933,316,920,436,937,355,129,68,2822,2628,816,366,617,1846,133,492,530,226,93",1,29.717,29.717,60.268
"693,1186,425,291,1257,376,1107,1999,592,1577,842,1567,1042,587,309,1669,848,2156,278,1358,507,566,8,487,105,2578,965,1585,663,125,1676,530,100,1457,337,471,432,193,1395,1106,500,2019,2092,886,1188,174,69,518,238,1713",1,8.124,41.538,69.554
"699,772,2417,1500,1503,1802,413,636,702,190,169,919,1424,535,712,792,1302,1356,2090,1347,738,2471,386,1039,2300,1758,1434,291,1951,1305,552,1404,942,344,1460,865,2711,1793,172,475,716,332,677,1745,578,640,829,1316,1645,334",1,9.663,9.663,75.12
"7,79,152,200,213,1471,721,215,140,187,349,616,256,588,1372,386,1836,95,278,703,58,690,1004,273,741,756,1114,1023,991,114,529,644,712,111,387,3056,857,190,376,2235,265,1019,196,91,587,1227,1214,496,189,2538",1,11.336,52.092,54.301
"702,2256,305,129,260,218,39,133,530,98,715,429,152,211,337,306,434,121,923,63,524,105,168,24,8,97,175,125,1467,40,27,613,10,51,505,53,34,597,208,382,391,5,718,45,128,85,124,588,206,6",1,31.876,58.138,35.21
"708,283,804,441,304,433,492,166,485,1308,1778,1097,2069,2475,1448,106,1452,1640,1,168,1523,1543,1731,144,717,1606,1609,737,2012,1099,951,1129,178,1762,3,2255,1646,429,54,1493,383,987,548,425,1825,1231,1004,1301,197,739",1,23.536,82.294,36.997
"712,49,386,6,190,749,215,151,63,216,1155,65,1114,187,79,349,644,647,714,241,1146,278,59,75,1004,857,756,1229,1020,61,587,434,529,118,121,3613,591,606,620,146,1019,161,896,92,164,95,138,645,147,770",1,6.667,95.87,30.908
"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719",1,26.721,56.437,50.634
"716,568,891,1745,383,2183,731,522,1352,1746,253,793,1182,872,901,1334,275,201,400,1305,1209,90,1412,772,578,1177,919,815,447,691,728,557,640,1375,1366,843,592,401,1331,515,736,559,574,657,1038,623,1317,607,809,718",1,9.258,61.404,58.33
"717,276,618,1299,184,1261,2912,1159,463,1452,1455,1676,2484,715,217,2012,961,274,339,663,56,1587,2270,53,117,2399,20,1081,1110,471,727,163,694,42,1233,152,1121,1406,1674,327,1257,243,1453,391,216,69,542,761,324,789",1,46.397,46.397,27.902
"720,1467,2717,256,79,894,121,320,80,502,1191,2059,157,216,665,214,212,1024,749,1113,587,1020,1042,1351,124,2009,1254,1640,2072,1150,23,177,46,2270,1460,165,1802,2922,1757,901,1630,413,383,475,1312,628,1088,826,394,372",1,10.769,97.544,27.071
"73,576,1844,2582,2465,85,41,757,56,1211,816,336,564,731,1501,515,1314,702,2884,425,1186,199,1375,535,244,315,1434,1182,149,741,716,1352,677,1177,826,84,604,1951,1305,1393,427,636,1255,835,292,1688,1042,1833,4,545",1,26.073,56.329,53.562
"731,568,275,1660,1745,1501,1281,1147,2267,3102,1258,901,1213,732,523,567,1360,660,1226,2441,622,812,1089,1757,1380,2876,576,1338,2961,215,1014,1292,1930,2466,1093,1146,1020,1214,1082,1203,1064,1727,1524,2092,1651,2734,1000,1106,1275,2317",1,33.846,85.992,30.9
"734,190,620,844,219,61,213,207,117,41,393,135,274,16,184,559,574,843,657,721,425,643,20,718,742,27,218,49,98,157,58,140,210,435,214,211,720,75,146,151,1042,79,94,647,712,386,387,133,606,756",1,3.536,87.584,43.56
"738,755,968,768,156,1008,985,1018,620,161,841,976,645,606,494,99,969,763,865,880,556,642,87,1724,937,1260,1146,105,734,980,2159,39,1159,1116,214,326,1296,869,1150,432,1112,1536,595,1131,213,1119,1319,1180,652,189",1,5.263,90.661,39.174
"74,475,879,34,11,589,824,391,610,17,799,651,50,609,1047,613,1048,1732,1028,1524,38,783,597,208,621,33,35,46,18,402,625,633,1094,36,390,1827,3221,1051,1368,671,1077,582,1,16,210,39,237,23,86,753",1,80.675,95.412,9.606
"741,94,991,61,95,278,69,1019,145,714,1272,849,189,433,858,841,118,892,2293,768,679,127,513,1537,326,1132,869,1150,432,1159,2661,1116,193,601,1112,1131,214,274,1119,886,1115,1180,791,716,279,1900,734,373,185,455",1,93.522,93.522,4.539
