i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
7,targeted,None,"5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,923","5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,431",None,1,None,None,200.556,0.0,82.373,None,4.604,"{0, 1, 14}",{3},{1},1.0,0.0,"{0, 1, 14},{0, 10, 14},{0, 15},{3, 7},{7}","{3},{0, 14, 15},{3, 12, 5, 15},{3, 7},{3, 7}","{1},{1},{1},{1},{1}",0.42,0.0,"{0, 1, 14},{0, 10, 14},{0, 15},{3, 7},{7},{7},{3, 12, 5, 15},{3, 13},{15, 5, 7},{3, 7}","{3},{0, 14, 15},{3, 12, 5, 15},{3, 7},{3, 7},{5},{7},{0, 15},{0, 15},{7}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.274,0.0,"{0, 1, 14},{0, 10, 14},{0, 15},{3, 7},{7},{7},{3, 12, 5, 15},{3, 13},{15, 5, 7},{3, 7},{7},{11, 3},{0, 12, 15},{15, 5, 7},{3},{1, 14, 15},{7},{12, 5, 7},{7},{0, 1, 15}","{3},{0, 14, 15},{3, 12, 5, 15},{3, 7},{3, 7},{5},{7},{0, 15},{0, 15},{7},{15, 5, 7},{16, 7},{15, 5, 7},{12, 15},{0, 3, 7},{7},{0, 17, 7},{13, 7},{3},{3, 13}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.273,0.0,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
8,targeted,None,"1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334","1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,475,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334",None,1,None,None,202.205,0.0,84.363,None,2.298,"{1, 17, 7}","{1, 17, 7}",{1},1.0,1.0,"{1, 17, 7},{7},{3, 13, 7},{3, 14},{11}","{1, 17, 7},{7},{3, 13, 7},{3, 14},{15, 7}","{1},{1},{1},{1},{1}",0.47,0.443,"{1, 17, 7},{7},{3, 13, 7},{3, 14},{11},{11, 2, 3},{0, 10},{7},{0, 1, 14},{0, 15}","{1, 17, 7},{7},{3, 13, 7},{3, 14},{15, 7},{11},{0, 10},{11, 2, 3},{7},{15, 7}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.394,0.312,"{1, 17, 7},{7},{3, 13, 7},{3, 14},{11},{11, 2, 3},{0, 10},{7},{0, 1, 14},{0, 15},{15, 7},{15, 7},{0, 13, 15},{16, 7},{0, 14, 15},{7},{7},{0, 1, 7},{12, 7},{3, 13}","{1, 17, 7},{7},{3, 13, 7},{3, 14},{15, 7},{11},{0, 10},{11, 2, 3},{7},{15, 7},{0, 15},{16, 7},{0, 1, 14},{0, 13, 15},{7},{7},{3, 13},{12, 7},{0, 1, 7},{13, 7}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.304,0.302,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
9,targeted,None,"388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,424","388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,24",None,1,None,None,200.21,0.0,78.833,None,3.623,"{0, 1, 14}",{11},{1},1.0,0.0,"{0, 1, 14},{0, 1},{0, 1},{11},{11, 2, 3}","{11},{11, 2, 3},{15, 7},{0, 1},{3, 14}","{1},{1},{1},{1},{1}",0.768,0.156,"{0, 1, 14},{0, 1},{0, 1},{11},{11, 2, 3},{0, 13},{0, 15},{16, 13, 7},{0, 14, 15},{11, 2, 3}","{11},{11, 2, 3},{15, 7},{0, 1},{3, 14},{1, 17, 7},{11, 1, 3, 7},{0, 15},{11, 2, 3},{0, 1}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.481,0.383,"{0, 1, 14},{0, 1},{0, 1},{11},{11, 2, 3},{0, 13},{0, 15},{16, 13, 7},{0, 14, 15},{11, 2, 3},{11, 2, 3},{3, 14},{0, 1, 7, 13, 14, 16},{16, 7},{1, 7},{1, 17, 7},{3, 7},{7},{11, 13},{11, 3}","{11},{11, 2, 3},{15, 7},{0, 1},{3, 14},{1, 17, 7},{11, 1, 3, 7},{0, 15},{11, 2, 3},{0, 1},{0, 1, 7, 13, 14, 16},{11, 2, 3},{16, 7},{3, 13},{16, 13, 7},{16, 3, 13},{0, 14, 15},{16, 13, 7},{0, 16, 14, 15},{11, 13}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.467,0.309,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
10,targeted,None,"1111,168,954,469,515,283,194,1101,718,765,1259,206,1387,1022,1223,481,123,1050,310,545,576,472,434,57,27,160,425,346,684,878,233,71,465,797,1266,321,591,144,436,519,527,1113,896,1321,554,1005,987,1071,833,670","1111,168,954,469,515,283,194,1101,718,765,1259,206,1387,1022,1223,481,123,1050,310,545,576,472,434,57,27,160,425,346,684,878,233,71,465,797,1266,321,591,144,436,519,527,1113,896,1321,554,1005,987,1071,833,160",None,1,None,None,200.964,0.0,83.209,None,3.398,"{11, 1, 2, 3}","{13, 7}",{1},1.0,0.0,"{11, 1, 2, 3},{3},{1, 3},{8, 3},{3}","{13, 7},{11, 3, 13},{13, 7},{1, 17, 7},{13, 7}","{1},{1},{1},{1},{1}",0.727,0.186,"{11, 1, 2, 3},{3},{1, 3},{8, 3},{3},{3},{11, 2, 3, 13},{1, 3, 8, 13, 14},{3},{2, 3}","{13, 7},{11, 3, 13},{13, 7},{1, 17, 7},{13, 7},{15},{3, 13},{3, 13},{0, 16, 13},{3, 7}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.597,0.128,"{11, 1, 2, 3},{3},{1, 3},{8, 3},{3},{3},{11, 2, 3, 13},{1, 3, 8, 13, 14},{3},{2, 3},{1, 3},{17, 3},{3, 7},{3},{3},{3, 7},{0, 3},{1, 3},{8, 1, 2, 3},{3}","{13, 7},{11, 3, 13},{13, 7},{1, 17, 7},{13, 7},{15},{3, 13},{3, 13},{0, 16, 13},{3, 7},{13, 7},{3, 13},{3, 13},{11, 3},{13, 7},{3},{11, 3, 13},{13, 7},{3},{0, 13, 7}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.542,0.086,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
11,targeted,None,"290,59,372,25,1311,428,182,720,752,140,142,154,408,149,178,361,492,696,84,176,306,141,158,88,137,453,98,279,771,24,190,358,50,356,601,535,243,234,87,708,18,1068,268,1105,935,1195,1083,174,1183,333","290,59,372,25,1311,428,182,720,752,140,142,154,408,149,178,361,492,696,84,176,306,141,158,88,137,453,98,279,771,24,190,358,50,356,601,535,243,234,87,708,18,1068,268,1105,358,1195,1083,174,1183,333",None,1,None,None,201.831,0.0,87.61,None,2.826,"{0, 1, 14, 15}","{15, 7}",{1},1.0,0.0,"{0, 1, 14, 15},{7},{15, 7},{0, 15},{0, 1, 15}","{15, 7},{7},{3, 5},{0, 1, 14, 15},{0, 1, 15}","{1},{1},{1},{1},{1}",0.674,0.443,"{0, 1, 14, 15},{7},{15, 7},{0, 15},{0, 1, 15},{0, 1, 14, 15},{3, 5},{8, 3, 13, 14},{8, 1, 2, 3},{0, 1, 15}","{15, 7},{7},{3, 5},{0, 1, 14, 15},{0, 1, 15},{8, 3, 13, 14},{0, 1, 14, 15},{0, 15},{8, 1, 2, 3},{3}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.662,0.476,"{0, 1, 14, 15},{7},{15, 7},{0, 15},{0, 1, 15},{0, 1, 14, 15},{3, 5},{8, 3, 13, 14},{8, 1, 2, 3},{0, 1, 15},{0},{3},{0, 1, 5},{3, 13},{0, 1, 15},{3},{3, 13},{3},{3},{15, 7}","{15, 7},{7},{3, 5},{0, 1, 14, 15},{0, 1, 15},{8, 3, 13, 14},{0, 1, 14, 15},{0, 15},{8, 1, 2, 3},{3},{3},{3},{14, 15},{0},{15, 7},{3},{15, 7},{0, 1, 15},{3},{3, 13}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.589,0.399,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
12,targeted,None,"158,945,653,44,96,61,176,892,1024,99,498,118,361,25,972,13,404,69,502,503,874,210,142,24,453,26,614,159,1035,141,137,152,770,652,279","158,945,653,44,96,61,176,892,1024,99,498,118,361,25,972,13,404,69,502,503,874,210,142,24,453,26,614,159,1035,141,137,152,770,621,279",None,1,None,None,187.019,0.0,82.587,None,3.012,"{0, 1, 14, 15}","{0, 14, 15}",{1},1.0,0.0,"{0, 1, 14, 15},{0, 1, 15},{0, 15},{0, 15},{0, 15}","{0, 14, 15},{0, 15},{0, 1, 8},{0, 15},{0, 1, 15}","{1},{1},{1},{1},{1}",0.691,0.342,"{0, 1, 14, 15},{0, 1, 15},{0, 15},{0, 15},{0, 15},{0, 15},{0, 1},{0, 5},{0, 14},{0}","{0, 14, 15},{0, 15},{0, 1, 8},{0, 15},{0, 1, 15},{0, 15},{0, 17, 7},{0, 1, 14, 15},{0},{0, 16, 14}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.574,0.329,"{0, 1, 14, 15},{0, 1, 15},{0, 15},{0, 15},{0, 15},{0, 15},{0, 1},{0, 5},{0, 14},{0},{0, 14, 15},{0, 15},{0, 1, 15},{0, 15},{0, 1, 15},{0, 16, 14},{15},{0, 1, 12},{0, 1, 15},{0}","{0, 14, 15},{0, 15},{0, 1, 8},{0, 15},{0, 1, 15},{0, 15},{0, 17, 7},{0, 1, 14, 15},{0},{0, 16, 14},{0, 15},{0, 1, 12},{9, 5, 15},{0, 15},{0, 1, 14, 15},{0, 1, 15},{0},{0, 15},{0},{0, 1, 5}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.544,0.398,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
13,targeted,None,"736,696,307,158,182,262,1160,275,1024,720,670,568,734,236,99,524,901,899,859,81,531,951,243,861,485,308,331,481,170,994,7,254,575,1335,400,89,100,154,653,291,504,117,134,408,1212,17,535,1372,912,205","736,696,307,158,182,262,1160,275,1024,720,670,568,734,236,99,524,901,899,859,81,531,951,243,861,485,308,331,481,170,994,7,254,575,1335,400,89,100,154,653,291,504,117,134,408,1212,17,535,1372,912,208",None,1,None,None,201.355,0.0,84.79,None,3.243,"{1, 14}","{3, 14}",{1},1.0,0.0,"{1, 14},{3, 14},{13, 15, 5, 7},{16, 14},{3}","{3, 14},{3},{13, 15, 5, 7},{3, 7},{1, 14}","{1},{1},{1},{1},{1}",0.307,0.123,"{1, 14},{3, 14},{13, 15, 5, 7},{16, 14},{3},{3},{7},{0, 5, 15},{3, 7},{0, 16, 14}","{3, 14},{3},{13, 15, 5, 7},{3, 7},{1, 14},{3},{0, 16, 14},{1, 3},{7},{7}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.208,0.159,"{1, 14},{3, 14},{13, 15, 5, 7},{16, 14},{3},{3},{7},{0, 5, 15},{3, 7},{0, 16, 14},{3, 7},{3, 7},{7},{3},{0, 1, 3, 14},{3, 7},{1, 3},{2, 3},{13, 7},{7}","{3, 14},{3},{13, 15, 5, 7},{3, 7},{1, 14},{3},{0, 16, 14},{1, 3},{7},{7},{3},{0, 5, 15},{3, 7},{10, 3},{0, 1, 3, 14},{0},{3, 7},{7},{5, 7},{3}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.242,0.177,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
14,targeted,None,"292,436,34,402,30,205,896,157,365,559,759,477,801,166,862,528,136,104,160,58,232,920,1433,599,444,821,346,530,435,1063,1101,457,511,219,37,186,50,53,294,257,1055,345,57,64,118,145,332,1156,623,523","292,436,34,402,30,205,896,157,365,559,759,477,801,166,862,528,136,104,160,58,232,920,1433,599,444,821,346,530,435,1063,1101,457,511,219,37,186,50,53,294,257,1055,345,57,64,118,145,332,1156,623,23",None,1,None,None,200.314,0.0,72.638,None,4.437,"{0, 1}","{3, 13}",{1},1.0,0.0,"{0, 1},{11, 13},{3, 5},{3, 7},{12, 15, 14, 7}","{3, 13},{3, 13},{13, 7},{3},{0, 13, 7}","{1},{1},{1},{1},{1}",0.3,0.0,"{0, 1},{11, 13},{3, 5},{3, 7},{12, 15, 14, 7},{15},{16, 3, 13},{0, 1, 3, 13},{7},{3, 13}","{3, 13},{3, 13},{13, 7},{3},{0, 13, 7},{3},{13, 7},{13, 7},{3, 13},{14, 7}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.321,0.0,"{0, 1},{11, 13},{3, 5},{3, 7},{12, 15, 14, 7},{15},{16, 3, 13},{0, 1, 3, 13},{7},{3, 13},{5, 15},{0, 5, 7},{7},{11, 3, 7},{3},{16, 14},{0, 16, 7},{1, 3, 7},{16, 13, 7},{0, 16, 7}","{3, 13},{3, 13},{13, 7},{3},{0, 13, 7},{3},{13, 7},{13, 7},{3, 13},{14, 7},{0, 13, 15},{0, 16, 13, 7},{3, 7},{13, 7},{3},{3},{0, 1},{7},{7},{13, 7}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.246,0.035,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
15,targeted,None,"78,645,117,815,1024,290,453,311,268,614,141,303,174,564,137,414,24,553,121,1036,182,657,972,465,708,177,279,511,515,578,1012,905,104,173,217,664,230,162,358,31,23,457,1184,258,334,404,103,721,370,125","78,645,117,815,1024,290,453,311,268,614,141,303,174,564,137,414,24,553,121,1036,182,657,972,465,708,177,279,511,515,578,1012,905,104,173,217,664,230,162,358,31,23,457,1184,258,334,404,103,702,370,125",None,1,None,None,199.035,0.0,73.12,None,4.412,"{0, 1, 15}",{3},{1},1.0,0.0,"{0, 1, 15},{0, 1, 14, 15},{0, 15},{0},{15}","{3},{0},{3},{15},{3}","{1},{1},{1},{1},{1}",0.752,0.0,"{0, 1, 15},{0, 1, 14, 15},{0, 15},{0},{15},{0, 1, 15},{0, 15},{3},{0, 15},{0}","{3},{0},{3},{15},{3},{3},{8, 3, 14, 7},{0, 13, 15},{0},{0, 1}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.641,0.089,"{0, 1, 15},{0, 1, 14, 15},{0, 15},{0},{15},{0, 1, 15},{0, 15},{3},{0, 15},{0},{3},{3},{0, 15},{0, 1, 14},{0, 15},{3},{0, 1, 12},{3, 13},{10, 7},{0, 15}","{3},{0},{3},{15},{3},{3},{8, 3, 14, 7},{0, 13, 15},{0},{0, 1},{3},{3},{0, 1, 12},{3, 13},{0, 1, 14},{0, 1, 5},{0, 14, 15},{0, 15},{16, 15, 7},{1, 3}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.539,0.272,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
16,targeted,None,"197,1241,765,446,753,1049,834,615,522,1111,329,657,283,431,353,577,143,422,169,870,635,778,605,374,438,1198,505,147,162,77,254,55,26,83,457,901,232,418,137,141,369,544,220,115,459,202,770,699,279,979","197,1241,765,446,753,1049,834,615,522,1111,329,657,283,431,353,577,143,422,169,870,635,778,605,374,438,1198,505,147,162,77,254,55,26,83,457,901,232,418,137,141,369,544,220,115,459,522,770,699,279,979",None,1,None,None,200.966,0.0,85.529,None,2.582,"{0, 1, 14, 15}",{0},{1},1.0,0.0,"{0, 1, 14, 15},{0},{0},{1},{0, 1, 14}","{0},{0, 1, 14},{0, 1, 5},{0, 1, 3, 5},{14, 15}","{1},{1},{1},{1},{1}",0.832,0.743,"{0, 1, 14, 15},{0},{0},{1},{0, 1, 14},{0},{0, 1, 5},{0, 1, 5, 15},{0, 1, 3, 5},{0, 14, 15}","{0},{0, 1, 14},{0, 1, 5},{0, 1, 3, 5},{14, 15},{0},{0, 1},{0, 1, 17},{0, 15},{0, 1, 14, 15}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.794,0.743,"{0, 1, 14, 15},{0},{0},{1},{0, 1, 14},{0},{0, 1, 5},{0, 1, 5, 15},{0, 1, 3, 5},{0, 14, 15},{0},{0},{0, 15},{0},{0, 1, 17},{0, 1, 8},{0, 17, 7},{14, 15},{0, 1},{0, 15}","{0},{0, 1, 14},{0, 1, 5},{0, 1, 3, 5},{14, 15},{0},{0, 1},{0, 1, 17},{0, 15},{0, 1, 14, 15},{0, 14},{0},{0, 1, 13},{0},{0},{0, 1, 13, 7},{0, 15},{0, 1, 14},{0, 1, 8},{0}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.674,0.698,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
17,targeted,None,"157,457,146,7,477,218,232,916,505,115,544,318,699,376,220,630,15,148,830,939,369,540,202,528,451,979,694,343,592,378,439,338,193,367,914,671,324,34,587,308,558,38,364,720,2,1085,383,69,131,351","157,457,146,7,477,218,232,916,505,115,544,318,699,376,220,630,15,148,830,939,369,540,202,528,451,979,694,343,592,378,439,338,193,367,914,671,324,34,587,308,558,38,364,720,2,1085,383,69,1332,351",None,1,None,None,199.352,0.0,75.671,None,4.635,"{0, 1, 14, 15}","{3, 5}",{1},1.0,0.0,"{0, 1, 14, 15},{0, 13, 15},{11, 1, 2, 3},{3, 13},{3, 13}","{3, 5},{0, 13, 15},{14, 7},{13, 7},{15, 7}","{1},{1},{1},{1},{1}",0.63,0.0,"{0, 1, 14, 15},{0, 13, 15},{11, 1, 2, 3},{3, 13},{3, 13},{3, 5},{0, 1, 5},{0, 1, 15},{0, 15, 7},{1, 14}","{3, 5},{0, 13, 15},{14, 7},{13, 7},{15, 7},{3},{3},{0, 14},{0, 13, 7},{11, 1, 2, 3}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.624,0.117,"{0, 1, 14, 15},{0, 13, 15},{11, 1, 2, 3},{3, 13},{3, 13},{3, 5},{0, 1, 5},{0, 1, 15},{0, 15, 7},{1, 14},{3},{3, 13},{0, 1, 15},{3},{0, 13, 7},{0, 16, 3, 14},{0, 16, 15, 7},{3},{3},{13, 7}","{3, 5},{0, 13, 15},{14, 7},{13, 7},{15, 7},{3},{3},{0, 14},{0, 13, 7},{11, 1, 2, 3},{3, 13},{3},{0, 1, 15},{0, 1, 3, 14},{13, 7},{3},{0, 12, 13, 15},{9, 12, 5, 15},{3},{3, 7}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.487,0.187,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
18,targeted,None,"1329,270,306,74,1168,12,88,242,268,716,13,158,1183,99,1465,1003,852,348,360,477,162,759,369,699,457,438,459,451,198,544,979,622,927,220,995,353,1023,281,246,653,336,319,594,1117,357,453,146,377,471,1160","1329,270,306,74,1168,12,88,242,268,716,13,158,1183,99,1465,1003,852,348,360,477,162,759,369,699,457,438,459,451,198,544,979,622,927,220,995,353,1023,281,464,653,336,319,594,1117,357,453,146,377,471,1160",None,1,None,None,199.848,0.0,75.684,None,2.466,"{0, 1, 14, 15}","{0, 1, 14, 15}",{1},1.0,1.0,"{0, 1, 14, 15},{0, 14},{3},{0, 15},{0}","{0, 1, 14, 15},{0, 14},{3},{0, 15},{0, 16, 15, 7}","{1},{1},{1},{1},{1}",0.571,0.49,"{0, 1, 14, 15},{0, 14},{3},{0, 15},{0},{0, 16, 15, 7},{1, 3, 7},{15, 7},{3},{3}","{0, 1, 14, 15},{0, 14},{3},{0, 15},{0, 16, 15, 7},{3},{1},{3},{8, 3},{0, 13, 15}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.469,0.407,"{0, 1, 14, 15},{0, 14},{3},{0, 15},{0},{0, 16, 15, 7},{1, 3, 7},{15, 7},{3},{3},{0, 13, 15},{0, 1, 15},{8, 3},{1},{3},{0, 1, 14, 15},{0, 13, 7},{2, 3},{0, 14, 15},{14, 7}","{0, 1, 14, 15},{0, 14},{3},{0, 15},{0, 16, 15, 7},{3},{1},{3},{8, 3},{0, 13, 15},{15, 7},{0},{3},{2, 3},{0, 1, 14},{3, 12},{14, 7},{0, 14, 15},{0, 13, 7},{3, 13}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.423,0.321,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
19,targeted,None,"831,517,15,818,685,1192,468,1093,847,800,469,946,220,353,363,835,1005,1261,927,769,1071,234,1096,376,1263,774,21,605,522,543,496,979,118,2,61,281,96,340,52,269,1024,929,332,369,23,759,137,500,115,163","831,517,15,818,685,1192,468,1093,847,800,469,946,220,353,363,835,1005,1261,927,769,1071,234,1096,376,1263,774,21,605,522,543,496,979,118,2,61,281,96,340,52,269,1024,929,332,369,23,759,137,500,115,630",None,1,None,None,199.882,0.0,80.524,None,2.927,"{0, 1, 15}","{0, 15}",{1},1.0,0.0,"{0, 1, 15},{0, 15},{0, 1, 3, 13},{0, 1, 14},{0, 15}","{0, 15},{0, 1, 15},{0, 1, 5},{0, 15},{0, 13}","{1},{1},{1},{1},{1}",0.756,0.483,"{0, 1, 15},{0, 15},{0, 1, 3, 13},{0, 1, 14},{0, 15},{0, 13, 15},{0, 14, 15},{0, 16, 13},{0, 14, 15},{0, 15}","{0, 15},{0, 1, 15},{0, 1, 5},{0, 15},{0, 13},{0, 1, 5, 7},{0, 14},{14, 15},{0, 1, 14},{0, 13, 15}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.491,0.497,"{0, 1, 15},{0, 15},{0, 1, 3, 13},{0, 1, 14},{0, 15},{0, 13, 15},{0, 14, 15},{0, 16, 13},{0, 14, 15},{0, 15},{0, 13},{0, 1, 15},{9, 14},{0, 16, 14, 15},{0},{0, 1, 3, 10, 14},{0, 15},{0, 16, 7},{0, 15},{0, 1}","{0, 15},{0, 1, 15},{0, 1, 5},{0, 15},{0, 13},{0, 1, 5, 7},{0, 14},{14, 15},{0, 1, 14},{0, 13, 15},{0, 13, 15},{0, 15},{0, 1, 15},{0},{0, 1, 3, 13},{0, 15},{0, 16, 13},{0, 1, 17},{0, 13, 15},{0, 15}","{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}",0.455,0.456,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
