i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
159,genetic,None,"358,53,192,35,78,240,141,190,100,409,146,312,32,292,289,658,493,400,274,321,25,614,684,572,30,102,241,623,58,562,248,551,432,308,348,180,208,735,529,557,157,257,362,7,155,138,865,355,173,169","358,53,192,35,78,240,141,190,100,409,146,312,32,292,289,658,493,400,274,321,25,614,684,572,30,102,241,623,58,562,248,551,432,308,348,180,208,735,529,557,157,257,362,7,155,138,865,355,213,169",None,1,None,None,205.202,None,None,None,None,139,355,None,0,None,"139,80,355,138,699","355,139,353,477,257",None,0.22,None,"139,80,355,138,699,353,901,272,155,491","355,139,353,477,257,784,759,699,77,163",None,0.188,None,"139,80,355,138,699,353,901,272,155,491,759,95,477,257,609,749,865,274,77,362","355,139,353,477,257,784,759,699,77,163,80,505,155,95,13,802,901,497,272,665",None,0.175,None,"(None, 10, 0)",None,None,"358,53,192,35,78,240,141,190,100,409,146,312,32,292,289,658,493,400,274,321,25,614,684,572,30,102,241,623,58,562,248,551,432,308,348,180,208,735,529,557,157,257,362,7,155,138,865,355,173,169","358,53,192,35,78,240,141,190,100,409,146,312,32,292,289,658,493,400,274,321,25,614,684,572,30,102,241,623,58,562,248,551,432,308,348,180,208,735,529,557,157,257,362,7,155,138,865,355,173,458","sync_358,sync_53,sync_192,sync_35,sync_78,sync_240,sync_141,sync_190,sync_100,sync_409,sync_146,sync_312,sync_32,sync_292,sync_289,sync_658,sync_493,sync_400,sync_274,sync_321,sync_25,sync_614,sync_684,sync_572,sync_30,sync_102,sync_241,sync_623,sync_58,sync_562,sync_248,sync_551,sync_432,sync_308,sync_348,sync_180,sync_208,sync_735,sync_529,sync_557,sync_157,sync_257,sync_362,sync_7,sync_155,sync_138,sync_865,sync_355,sync_173,add_458,del_169",1,None,None,None,86.192,None,139,355,None,0,"139,95,355,138,497","355,139,353,477,257",None,0.22,"139,95,355,138,497,901,257,477,507,400","355,139,353,477,257,784,759,699,77,163",None,0.19,"139,95,355,138,497,901,257,477,507,400,13,7,47,865,163,30,784,802,665,32","355,139,353,477,257,784,759,699,77,163,80,505,155,95,13,802,901,497,272,665",None,0.177,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
160,genetic,None,"106,259,322,368,109,97,489,308,338,289,551,94,35,89,48,735,600,593,50,248,222,363,366,298,32,497,139,37,809,257,463,400,661,95,312,142,402,250,355,7,138,235,268,110,76,96,390,217,205,151","106,259,322,368,109,97,489,308,338,289,551,94,35,89,48,735,600,593,50,248,222,363,366,298,32,497,139,37,809,257,463,400,661,95,312,142,402,250,355,7,138,235,268,110,76,96,139,217,205,151",None,1,None,None,308.798,None,None,None,None,142,30,None,0,None,"142,30,312,502,13","30,157,13,352,312",None,0.27,None,"142,30,312,502,13,352,183,157,298,542","30,157,13,352,312,142,183,502,139,7",None,0.327,None,"142,30,312,502,13,352,183,157,298,542,139,624,404,865,7,257,155,113,32,400","30,157,13,352,312,142,183,502,139,7,151,257,32,404,624,298,865,113,217,365",None,0.318,None,"(None, 10, 0)",None,None,"106,259,322,368,109,97,489,308,338,289,551,94,35,89,48,735,600,593,50,248,222,363,366,298,32,497,139,37,809,257,463,400,661,95,312,142,402,250,355,7,138,235,268,110,76,96,390,217,205,151","106,259,322,368,109,97,489,308,338,289,551,94,35,89,48,735,600,593,50,248,222,363,366,298,32,497,139,37,809,257,463,400,661,95,312,142,402,250,355,7,138,235,268,110,76,96,390,217,205,151","sync_106,sync_259,sync_322,sync_368,sync_109,sync_97,sync_489,sync_308,sync_338,sync_289,sync_551,sync_94,sync_35,sync_89,sync_48,sync_735,sync_600,sync_593,sync_50,sync_248,sync_222,sync_363,sync_366,sync_298,sync_32,sync_497,sync_139,sync_37,sync_809,sync_257,sync_463,sync_400,sync_661,sync_95,sync_312,sync_142,sync_402,sync_250,sync_355,sync_7,sync_138,sync_235,sync_268,sync_110,sync_76,sync_96,sync_390,sync_217,sync_205,sync_151",0,None,None,None,65.727,None,30,30,None,1,"30,157,13,352,312","30,157,13,352,312",None,1.0,"30,157,13,352,312,142,183,502,139,7","30,157,13,352,312,142,183,502,139,7",None,1.0,"30,157,13,352,312,142,183,502,139,7,151,257,32,404,624,298,865,113,217,365","30,157,13,352,312,142,183,502,139,7,151,257,32,404,624,298,865,113,217,365",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
161,genetic,None,"158,290,1,140,492,347,2,381,96,252,498,244,864,145,737,586,214,569,118,361,653,275,266,583,861,99,52,609,49,344,269,73,405,520,732,852,44,1230,1016,340,815,892","158,290,1,140,492,347,2,381,96,252,498,244,864,145,737,586,214,569,118,361,653,275,266,583,861,99,52,609,49,344,269,73,340,520,732,852,44,1230,1016,340,815,892",None,1,None,None,317.726,None,None,None,None,926,118,None,0,None,"926,118,1226,1230,1406","118,1226,926,1230,176",None,0.479,None,"926,118,1226,1230,1406,811,1193,361,246,176","118,1226,926,1230,176,361,571,1406,246,811",None,0.448,None,"926,118,1226,1230,1406,811,1193,361,246,176,571,586,270,998,1024,275,44,96,188,377","118,1226,926,1230,176,361,571,1406,246,811,270,586,44,1024,96,1193,653,275,188,252",None,0.432,None,"(None, 10, 0)",None,None,"158,290,1,140,492,347,2,381,96,252,498,244,864,145,737,586,214,569,118,361,653,275,266,583,861,99,52,609,49,344,269,73,405,520,732,852,44,1230,1016,340,815,892","158,290,1,140,492,347,2,381,96,252,498,244,864,145,737,586,214,569,118,361,653,275,266,583,861,99,52,609,49,344,269,73,405,520,732,852,44,1230,1016,340,815,892,-1,-1,-1,-1,-1,-1,-1,-1","sync_158,sync_290,sync_1,sync_140,sync_492,sync_347,sync_2,sync_381,sync_96,sync_252,sync_498,sync_244,sync_864,sync_145,sync_737,sync_586,sync_214,sync_569,sync_118,sync_361,sync_653,sync_275,sync_266,sync_583,sync_861,sync_99,sync_52,sync_609,sync_49,sync_344,sync_269,sync_73,sync_405,sync_520,sync_732,sync_852,sync_44,sync_1230,sync_1016,sync_340,sync_815,sync_892",0,None,None,None,66.0,None,118,118,None,1,"118,1226,926,1230,176","118,1226,926,1230,176",None,1.0,"118,1226,926,1230,176,361,571,1406,246,811","118,1226,926,1230,176,361,571,1406,246,811",None,1.0,"118,1226,926,1230,176,361,571,1406,246,811,270,586,44,1024,96,1193,653,275,188,252","118,1226,926,1230,176,361,571,1406,246,811,270,586,44,1024,96,1193,653,275,188,252",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
162,genetic,None,"171,538,37,101,489,539,703,217,820,240,239,940,35,391,507,175,102,497,276,602,506,126,624,352,437,691,562,636,7,222,242,58,483,966,278,612,755,300,136,72,751,119,196,110,472,33,10,1091,419,316","171,538,37,101,489,539,703,217,820,240,239,940,35,391,507,175,102,497,276,602,506,126,624,352,437,691,562,636,7,222,242,58,483,966,271,612,755,300,136,72,751,119,196,110,472,33,10,1091,419,316",None,1,None,None,206.085,None,None,None,None,239,330,None,0,None,"239,187,101,703,352","330,101,278,703,937",None,0.253,None,"239,187,101,703,352,255,330,162,95,218","330,101,278,703,937,239,289,187,966,218",None,0.282,None,"239,187,101,703,352,255,330,162,95,218,658,100,278,695,289,242,966,119,937,175","330,101,278,703,937,239,289,187,966,218,111,240,658,162,255,175,186,119,126,368",None,0.264,None,"(None, 10, 0)",None,None,"171,538,37,101,489,539,703,217,820,240,239,940,35,391,507,175,102,497,276,602,506,126,624,352,437,691,562,636,7,222,242,58,483,966,278,612,755,300,136,72,751,119,196,110,472,33,10,1091,419,316","171,538,37,101,489,539,703,217,820,240,239,940,35,391,507,175,102,497,276,602,506,126,624,352,437,691,562,636,7,222,242,58,483,966,278,612,755,300,136,72,751,119,196,110,472,33,10,1091,419,1536","sync_171,sync_538,sync_37,sync_101,sync_489,sync_539,sync_703,sync_217,sync_820,sync_240,sync_239,sync_940,sync_35,sync_391,sync_507,sync_175,sync_102,sync_497,sync_276,sync_602,sync_506,sync_126,sync_624,sync_352,sync_437,sync_691,sync_562,sync_636,sync_7,sync_222,sync_242,sync_58,sync_483,sync_966,sync_278,sync_612,sync_755,sync_300,sync_136,sync_72,sync_751,sync_119,sync_196,sync_110,sync_472,sync_33,sync_10,sync_1091,sync_419,add_1536,del_316",1,None,None,None,135.657,None,476,330,None,0,"476,1511,840,82,656","330,101,278,703,937",None,0.0,"476,1511,840,82,656,22,434,135,432,226","330,101,278,703,937,239,289,187,966,218",None,0.0,"476,1511,840,82,656,22,434,135,432,226,720,481,308,966,111,616,175,572,27,865","330,101,278,703,937,239,289,187,966,218,111,240,658,162,255,175,186,119,126,368",None,0.032,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
163,genetic,None,"198,955,1055,969,14,848,765,706,164,1384,833,979,851,827,1114,954,962,363,1139,1049,1102,685,629,1492,121,677,635,578,615,98,859,435,632,468,127,690,416,720,116,61,882,535,531,383,178,1127,705,824,191,333","198,955,1055,969,14,848,765,706,164,1384,833,979,851,827,1114,954,962,363,1139,1049,1102,685,629,1492,121,677,635,578,615,98,859,435,632,468,132,690,416,720,116,61,882,535,531,383,178,1127,705,824,191,333",None,1,None,None,220.47,None,None,None,None,1014,769,None,0,None,"1014,769,720,732,351","769,1014,720,732,166",None,0.592,None,"1014,769,720,732,351,166,555,158,707,667","769,1014,720,732,166,351,127,667,468,555",None,0.505,None,"1014,769,720,732,351,166,555,158,707,667,145,127,131,2,468,526,460,262,1520,88","769,1014,720,732,166,351,127,667,468,555,131,158,1520,526,707,2,145,487,262,460",None,0.424,None,"(None, 10, 0)",None,None,"198,955,1055,969,14,848,765,706,164,1384,833,979,851,827,1114,954,962,363,1139,1049,1102,685,629,1492,121,677,635,578,615,98,859,435,632,468,127,690,416,720,116,61,882,535,531,383,178,1127,705,824,191,333","198,955,1055,969,14,848,765,706,164,1384,833,979,851,827,1114,954,962,363,1139,1049,1102,685,629,1492,121,677,635,578,615,98,859,435,632,468,127,690,416,720,116,61,882,535,531,383,178,1127,705,824,191,1","sync_198,sync_955,sync_1055,sync_969,sync_14,sync_848,sync_765,sync_706,sync_164,sync_1384,sync_833,sync_979,sync_851,sync_827,sync_1114,sync_954,sync_962,sync_363,sync_1139,sync_1049,sync_1102,sync_685,sync_629,sync_1492,sync_121,sync_677,sync_635,sync_578,sync_615,sync_98,sync_859,sync_435,sync_632,sync_468,sync_127,sync_690,sync_416,sync_720,sync_116,sync_61,sync_882,sync_535,sync_531,sync_383,sync_178,sync_1127,sync_705,sync_824,sync_191,add_1,del_333",1,None,None,None,97.856,None,231,769,None,0,"231,720,205,5,131","769,1014,720,732,166",None,0.085,"231,720,205,5,131,2,255,116,88,190","769,1014,720,732,166,351,127,667,468,555",None,0.055,"231,720,205,5,131,2,255,116,88,190,1014,175,360,11,874,732,217,624,162,140","769,1014,720,732,166,351,127,667,468,555,131,158,1520,526,707,2,145,487,262,460",None,0.058,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
164,genetic,None,"803,1408,47,591,258,167,671,367,600,655,17,1055,135,448,436,719,294,16,34,432,208,348,1358,94,48,248,587,593,286,890,818,308,557,550,1057,418,325,324,1002,529,679,364,835,1259,56,283,984,406,281,1282","803,1408,47,591,258,167,671,367,600,655,17,1055,135,448,436,719,294,16,34,432,208,348,1358,94,48,248,587,593,286,890,818,308,557,550,1057,418,324,324,1002,529,679,364,835,1259,56,283,984,406,281,1282",None,1,None,None,280.681,None,None,None,None,840,653,None,0,None,"840,653,131,182,720","653,840,131,720,432",None,0.519,None,"840,653,131,182,720,432,78,492,358,154","653,840,131,720,432,182,492,377,358,78",None,0.524,None,"840,653,131,182,720,432,78,492,358,154,357,377,383,141,61,45,716,290,185,424","653,840,131,720,432,182,492,377,358,78,716,154,357,61,185,383,141,45,290,281",None,0.448,None,"(None, 10, 0)",None,None,"803,1408,47,591,258,167,671,367,600,655,17,1055,135,448,436,719,294,16,34,432,208,348,1358,94,48,248,587,593,286,890,818,308,557,550,1057,418,325,324,1002,529,679,364,835,1259,56,283,984,406,281,1282","803,1408,47,591,258,167,671,367,600,655,17,1055,135,448,436,719,294,16,34,432,208,348,1358,94,48,248,587,593,286,890,818,308,557,550,1057,418,325,324,1002,529,679,364,835,1259,56,283,984,406,281,1282","sync_803,sync_1408,sync_47,sync_591,sync_258,sync_167,sync_671,sync_367,sync_600,sync_655,sync_17,sync_1055,sync_135,sync_448,sync_436,sync_719,sync_294,sync_16,sync_34,sync_432,sync_208,sync_348,sync_1358,sync_94,sync_48,sync_248,sync_587,sync_593,sync_286,sync_890,sync_818,sync_308,sync_557,sync_550,sync_1057,sync_418,sync_325,sync_324,sync_1002,sync_529,sync_679,sync_364,sync_835,sync_1259,sync_56,sync_283,sync_984,sync_406,sync_281,sync_1282",0,None,None,None,39.317,None,653,653,None,1,"653,840,131,720,432","653,840,131,720,432",None,1.0,"653,840,131,720,432,182,492,377,358,78","653,840,131,720,432,182,492,377,358,78",None,1.0,"653,840,131,720,432,182,492,377,358,78,716,154,357,61,185,383,141,45,290,281","653,840,131,720,432,182,492,377,358,78,716,154,357,61,185,383,141,45,290,281",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
165,genetic,None,"290,2,280,595,61,861,275,281,96,118,176,99,49,1024,1003,361,653,1230,377","490,2,280,595,61,861,275,281,96,118,176,99,49,1024,1003,361,653,1230,377",None,1,None,None,168.753,None,None,None,None,926,340,None,0,None,"926,340,628,852,118","340,926,44,86,118",None,0.408,None,"926,340,628,852,118,1230,1003,86,336,145","340,926,44,86,118,49,281,1024,269,336",None,0.315,None,"926,340,628,852,118,1230,1003,86,336,145,44,176,794,117,900,669,96,99,269,1104","340,926,44,86,118,49,281,1024,269,336,145,96,929,852,140,117,176,1003,275,99",None,0.276,None,"(None, 10, 0)",None,None,"290,2,280,595,61,861,275,281,96,118,176,99,49,1024,1003,361,653,1230,377","290,2,280,595,61,861,275,281,96,118,176,99,49,1024,1003,361,653,1230,1528,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_290,sync_2,sync_280,sync_595,sync_61,sync_861,sync_275,sync_281,sync_96,sync_118,sync_176,sync_99,sync_49,sync_1024,sync_1003,sync_361,sync_653,sync_1230,add_1528,del_377",1,None,None,None,142.799,None,140,340,None,0,"140,86,951,44,158","340,926,44,86,118",None,0.133,"140,86,951,44,158,808,214,1104,864,269","340,926,44,86,118,49,281,1024,269,336",None,0.12,"140,86,951,44,158,808,214,1104,864,269,720,891,31,326,492,1185,852,945,595,2","340,926,44,86,118,49,281,1024,269,336,145,96,929,852,140,117,176,1003,275,99",None,0.089,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
166,genetic,None,"96,1024,87,358,243,154,365,13,53,25,141,210,337,863,98,645,705,78,404,453,856,104,511,279,677,556,707,641,6,387,735,83,157,400,23,97,472,102,230,493,475","96,1024,87,358,243,154,365,13,53,25,141,210,337,863,98,645,705,78,404,453,856,104,511,279,677,556,707,641,6,387,735,83,157,400,23,97,872,102,230,493,475",None,1,None,None,207.614,None,None,None,None,180,400,None,0,None,"180,735,368,248,481","400,368,222,103,217",None,0.107,None,"180,735,368,248,481,322,162,103,230,23","400,368,222,103,217,94,23,230,409,27",None,0.141,None,"180,735,368,248,481,322,162,103,230,23,222,94,409,27,298,209,217,113,157,623","400,368,222,103,217,94,23,230,409,27,209,735,102,298,312,180,162,472,248,322",None,0.165,None,"(None, 10, 0)",None,None,"96,1024,87,358,243,154,365,13,53,25,141,210,337,863,98,645,705,78,404,453,856,104,511,279,677,556,707,641,6,387,735,83,157,400,23,97,472,102,230,493,475","96,1024,87,358,243,154,365,13,53,25,141,210,337,863,98,645,705,78,404,453,856,104,511,279,677,556,707,641,6,387,735,83,157,400,23,97,472,102,230,493,475,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_96,sync_1024,sync_87,sync_358,sync_243,sync_154,sync_365,sync_13,sync_53,sync_25,sync_141,sync_210,sync_337,sync_863,sync_98,sync_645,sync_705,sync_78,sync_404,sync_453,sync_856,sync_104,sync_511,sync_279,sync_677,sync_556,sync_707,sync_641,sync_6,sync_387,sync_735,sync_83,sync_157,sync_400,sync_23,sync_97,sync_472,sync_102,sync_230,sync_493,sync_475",0,None,None,None,16.607,None,400,400,None,1,"400,368,222,103,217","400,368,222,103,217",None,1.0,"400,368,222,103,217,94,23,230,409,27","400,368,222,103,217,94,23,230,409,27",None,1.0,"400,368,222,103,217,94,23,230,409,27,209,735,102,298,312,180,162,472,248,322","400,368,222,103,217,94,23,230,409,27,209,735,102,298,312,180,162,472,248,322",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
167,genetic,None,"274,974,457,209,289,157,286,30,330,473,650,749,9,409,353,218,886,577,277,45,591,493,293,236,821,1165,778,220,599,544,250,972,939,273,74,158,456,281,815,936,1019,615,178,88,720,246,105,861,1422,702","274,974,457,209,289,157,286,30,330,473,650,749,9,409,353,218,886,577,277,45,591,493,293,236,821,1165,778,220,599,544,250,972,939,273,74,158,456,281,815,936,1019,615,178,88,972,246,105,861,1422,702",None,1,None,None,223.073,None,None,None,None,283,117,None,0,None,"283,117,332,620,1012","117,677,620,859,379",None,0.254,None,"283,117,332,620,1012,174,1019,873,168,677","117,677,620,859,379,247,657,283,332,772",None,0.199,None,"283,117,332,620,1012,174,1019,873,168,677,614,359,707,340,247,824,383,6,84,1258","117,677,620,859,379,247,657,283,332,772,358,614,873,45,1009,50,168,648,1012,69",None,0.165,None,"(None, 10, 0)",None,None,"274,974,457,209,289,157,286,30,330,473,650,749,9,409,353,218,886,577,277,45,591,493,293,236,821,1165,778,220,599,544,250,972,939,273,74,158,456,281,815,936,1019,615,178,88,720,246,105,861,1422,702","274,974,457,209,289,157,286,30,330,473,650,749,9,409,353,218,886,577,277,45,591,493,293,236,821,1165,778,220,599,544,250,972,939,273,74,158,456,281,815,936,1019,615,178,88,720,246,105,861,1422,18","sync_274,sync_974,sync_457,sync_209,sync_289,sync_157,sync_286,sync_30,sync_330,sync_473,sync_650,sync_749,sync_9,sync_409,sync_353,sync_218,sync_886,sync_577,sync_277,sync_45,sync_591,sync_493,sync_293,sync_236,sync_821,sync_1165,sync_778,sync_220,sync_599,sync_544,sync_250,sync_972,sync_939,sync_273,sync_74,sync_158,sync_456,sync_281,sync_815,sync_936,sync_1019,sync_615,sync_178,sync_88,sync_720,sync_246,sync_105,sync_861,sync_1422,add_18,del_702",1,None,None,None,125.524,None,383,117,None,0,"383,677,657,772,333","117,677,620,859,379",None,0.214,"383,677,657,772,333,1179,777,453,905,182","117,677,620,859,379,247,657,283,332,772",None,0.163,"383,677,657,772,333,1179,777,453,905,182,632,882,178,892,1024,36,485,1173,605,159","117,677,620,859,379,247,657,283,332,772,358,614,873,45,1009,50,168,648,1012,69",None,0.105,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
168,genetic,None,"159,358,88,59,13,190,53,210,141,614,142,98,145,24,404,152,770,137,279,1037,26,1019","59,358,88,59,13,190,53,210,141,614,142,98,145,24,404,152,770,137,279,1037,26,1019",None,1,None,None,181.64,None,None,None,None,524,652,None,0,None,"524,166,26,279,912","652,279,1037,26,912",None,0.276,None,"524,166,26,279,912,873,652,145,351,532","652,279,1037,26,912,524,532,98,166,873",None,0.263,None,"524,166,26,279,912,873,652,145,351,532,137,614,1037,132,556,24,98,118,141,159","652,279,1037,26,912,524,532,98,166,873,159,24,453,141,137,404,152,145,770,614",None,0.212,None,"(None, 10, 0)",None,None,"159,358,88,59,13,190,53,210,141,614,142,98,145,24,404,152,770,137,279,1037,26,1019","159,358,88,59,13,190,53,210,141,614,142,98,145,24,404,152,770,137,279,1037,26,1019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_159,sync_358,sync_88,sync_59,sync_13,sync_190,sync_53,sync_210,sync_141,sync_614,sync_142,sync_98,sync_145,sync_24,sync_404,sync_152,sync_770,sync_137,sync_279,sync_1037,sync_26,sync_1019",0,None,None,None,83.078,None,652,652,None,1,"652,279,1037,26,912","652,279,1037,26,912",None,1.0,"652,279,1037,26,912,524,532,98,166,873","652,279,1037,26,912,524,532,98,166,873",None,1.0,"652,279,1037,26,912,524,532,98,166,873,159,24,453,141,137,404,152,145,770,614","652,279,1037,26,912,524,532,98,166,873,159,24,453,141,137,404,152,145,770,614",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
169,genetic,None,"94,503,167,114,334,248,142,395,924,661,413,432,514,210,151,414,162,180,545,1050,121,192,350,274,590,4,457,48,227,437,43,572,26,553,205,367,505,97,155,193,472,157,533,57,115,254,619,946,27,346","94,570,167,114,334,248,142,395,924,661,413,432,514,210,151,414,162,180,545,1050,121,192,350,274,590,4,457,48,227,437,43,572,26,553,205,367,505,97,155,193,472,157,533,57,115,254,619,946,27,346",None,1,None,None,211.844,None,None,None,None,160,77,None,0,None,"160,77,1038,219,505","77,160,219,183,55",None,0.361,None,"160,77,1038,219,505,55,80,901,530,232","77,160,219,183,55,1050,284,1007,254,232",None,0.341,None,"160,77,1038,219,505,55,80,901,530,232,284,985,475,592,254,8,183,310,202,1035","77,160,219,183,55,1050,284,1007,254,232,104,553,310,505,404,7,592,475,530,1150",None,0.267,None,"(None, 10, 0)",None,None,"94,503,167,114,334,248,142,395,924,661,413,432,514,210,151,414,162,180,545,1050,121,192,350,274,590,4,457,48,227,437,43,572,26,553,205,367,505,97,155,193,472,157,533,57,115,254,619,946,27,346","94,503,167,114,334,248,142,395,924,661,413,432,514,210,151,414,162,180,545,1050,121,192,350,274,590,4,457,48,227,437,43,572,26,553,205,367,505,97,155,193,472,157,533,57,115,254,619,946,27,1","sync_94,sync_503,sync_167,sync_114,sync_334,sync_248,sync_142,sync_395,sync_924,sync_661,sync_413,sync_432,sync_514,sync_210,sync_151,sync_414,sync_162,sync_180,sync_545,sync_1050,sync_121,sync_192,sync_350,sync_274,sync_590,sync_4,sync_457,sync_48,sync_227,sync_437,sync_43,sync_572,sync_26,sync_553,sync_205,sync_367,sync_505,sync_97,sync_155,sync_193,sync_472,sync_157,sync_533,sync_57,sync_115,sync_254,sync_619,sync_946,sync_27,add_1,del_346",1,None,None,None,104.408,None,1579,77,None,0,"1579,77,160,66,55","77,160,219,183,55",None,0.408,"1579,77,160,66,55,232,104,13,505,901","77,160,219,183,55,1050,284,1007,254,232",None,0.277,"1579,77,160,66,55,232,104,13,505,901,219,907,262,121,404,254,53,553,387,369","77,160,219,183,55,1050,284,1007,254,232,104,553,310,505,404,7,592,475,530,1150",None,0.247,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
